"Index","Date","Rf"
"    1",1954-01-04,0.0133
"    2",1954-01-05,0.0128
"    3",1954-01-06,0.0128
"    4",1954-01-07,0.0131
"    5",1954-01-08,0.0131
"    6",1954-01-11,0.0133
"    7",1954-01-12,0.013
"    8",1954-01-13,0.013
"    9",1954-01-14,0.0128
"   10",1954-01-15,0.012
"   11",1954-01-18,0.012
"   12",1954-01-20,0.0116
"   13",1954-01-21,0.0108
"   14",1954-01-22,0.01
"   15",1954-01-25,0.01
"   16",1954-01-26,0.01
"   17",1954-01-27,0.0108
"   18",1954-01-28,0.0096
"   19",1954-01-29,0.0102
"   20",1954-02-01,0.0104
"   21",1954-02-02,0.01
"   22",1954-02-03,0.0102
"   23",1954-02-04,0.0101
"   24",1954-02-05,0.009
"   25",1954-02-08,0.0089
"   26",1954-02-09,0.0088
"   27",1954-02-10,0.0093
"   28",1954-02-11,0.0094
"   29",1954-02-15,0.0098
"   30",1954-02-16,0.0098
"   31",1954-02-17,0.0102
"   32",1954-02-18,0.0097
"   33",1954-02-19,0.0096
"   34",1954-02-23,0.0095
"   35",1954-02-24,0.0097
"   36",1954-02-25,0.01
"   37",1954-02-26,0.01
"   38",1954-03-01,0.0103
"   39",1954-03-02,0.0103
"   40",1954-03-03,0.0105
"   41",1954-03-04,0.0103
"   42",1954-03-05,0.0102
"   43",1954-03-08,0.0103
"   44",1954-03-09,0.0103
"   45",1954-03-10,0.0106
"   46",1954-03-11,0.0105
"   47",1954-03-12,0.0104
"   48",1954-03-15,0.0104
"   49",1954-03-16,0.0102
"   50",1954-03-17,0.0101
"   51",1954-03-18,0.0101
"   52",1954-03-19,0.01
"   53",1954-03-22,0.01
"   54",1954-03-23,0.01
"   55",1954-03-24,0.0105
"   56",1954-03-25,0.0107
"   57",1954-03-26,0.0105
"   58",1954-03-29,0.0105
"   59",1954-03-30,0.0104
"   60",1954-03-31,0.0103
"   61",1954-04-01,0.0102
"   62",1954-04-02,0.01
"   63",1954-04-05,0.0098
"   64",1954-04-06,0.0097
"   65",1954-04-07,0.01
"   66",1954-04-08,0.01
"   67",1954-04-09,0.0103
"   68",1954-04-12,0.0104
"   69",1954-04-13,0.0106
"   70",1954-04-14,0.0104
"   71",1954-04-15,0.0103
"   72",1954-04-16,0.0103
"   73",1954-04-19,0.0102
"   74",1954-04-20,0.01
"   75",1954-04-21,0.01
"   76",1954-04-22,0.0098
"   77",1954-04-23,0.0094
"   78",1954-04-26,0.0085
"   79",1954-04-27,0.0083
"   80",1954-04-28,0.0082
"   81",1954-04-29,0.0081
"   82",1954-04-30,0.0081
"   83",1954-05-03,0.0077
"   84",1954-05-04,0.0072
"   85",1954-05-05,0.0072
"   86",1954-05-06,0.0075
"   87",1954-05-07,0.0079
"   88",1954-05-10,0.008
"   89",1954-05-11,0.0078
"   90",1954-05-12,0.0082
"   91",1954-05-13,0.0082
"   92",1954-05-14,0.008
"   93",1954-05-17,0.008
"   94",1954-05-18,0.0081
"   95",1954-05-19,0.0079
"   96",1954-05-20,0.0078
"   97",1954-05-21,0.0076
"   98",1954-05-24,0.0073
"   99",1954-05-25,0.007
"  100",1954-05-26,0.007
"  101",1954-05-27,0.007
"  102",1954-05-28,0.0072
"  103",1954-06-01,0.0071
"  104",1954-06-02,0.0071
"  105",1954-06-03,0.0068
"  106",1954-06-04,0.0066
"  107",1954-06-07,0.0061
"  108",1954-06-08,0.0061
"  109",1954-06-09,0.0062
"  110",1954-06-10,0.0061
"  111",1954-06-11,0.0062
"  112",1954-06-14,0.0064
"  113",1954-06-15,0.0063
"  114",1954-06-16,0.0063
"  115",1954-06-17,0.0061
"  116",1954-06-18,0.0063
"  117",1954-06-21,0.0063
"  118",1954-06-22,0.0061
"  119",1954-06-23,0.0062
"  120",1954-06-24,0.0062
"  121",1954-06-25,0.0064
"  122",1954-06-28,0.0064
"  123",1954-06-29,0.0064
"  124",1954-06-30,0.0064
"  125",1954-07-01,0.0065
"  126",1954-07-02,0.0066
"  127",1954-07-06,0.0066
"  128",1954-07-07,0.0065
"  129",1954-07-08,0.0065
"  130",1954-07-09,0.0067
"  131",1954-07-12,0.0069
"  132",1954-07-13,0.007
"  133",1954-07-14,0.0073
"  134",1954-07-15,0.0075
"  135",1954-07-16,0.0073
"  136",1954-07-19,0.0073
"  137",1954-07-20,0.0072
"  138",1954-07-21,0.0074
"  139",1954-07-22,0.0075
"  140",1954-07-23,0.0077
"  141",1954-07-26,0.0078
"  142",1954-07-27,0.0077
"  143",1954-07-28,0.0079
"  144",1954-07-29,0.0079
"  145",1954-07-30,0.0079
"  146",1954-08-02,0.0078
"  147",1954-08-03,0.0077
"  148",1954-08-04,0.0079
"  149",1954-08-05,0.008
"  150",1954-08-06,0.0083
"  151",1954-08-09,0.009
"  152",1954-08-10,0.0088
"  153",1954-08-11,0.0093
"  154",1954-08-12,0.0093
"  155",1954-08-13,0.0093
"  156",1954-08-16,0.0091
"  157",1954-08-17,0.0091
"  158",1954-08-18,0.0092
"  159",1954-08-19,0.0093
"  160",1954-08-20,0.0094
"  161",1954-08-23,0.01
"  162",1954-08-24,0.01
"  163",1954-08-25,0.0098
"  164",1954-08-26,0.0099
"  165",1954-08-27,0.01
"  166",1954-08-30,0.0104
"  167",1954-08-31,0.0105
"  168",1954-09-01,0.0103
"  169",1954-09-02,0.0102
"  170",1954-09-03,0.0102
"  171",1954-09-07,0.0103
"  172",1954-09-08,0.0102
"  173",1954-09-09,0.0102
"  174",1954-09-10,0.0102
"  175",1954-09-13,0.0103
"  176",1954-09-14,0.0104
"  177",1954-09-15,0.0102
"  178",1954-09-16,0.01
"  179",1954-09-17,0.01
"  180",1954-09-20,0.0098
"  181",1954-09-21,0.0098
"  182",1954-09-22,0.0099
"  183",1954-09-23,0.0099
"  184",1954-09-24,0.0099
"  185",1954-09-27,0.01
"  186",1954-09-28,0.0099
"  187",1954-09-29,0.01
"  188",1954-09-30,0.0099
"  189",1954-10-01,0.0097
"  190",1954-10-04,0.0096
"  191",1954-10-05,0.0094
"  192",1954-10-06,0.0094
"  193",1954-10-07,0.0094
"  194",1954-10-08,0.0094
"  195",1954-10-11,0.0096
"  196",1954-10-13,0.0098
"  197",1954-10-14,0.0099
"  198",1954-10-15,0.01
"  199",1954-10-18,0.01
"  200",1954-10-19,0.0099
"  201",1954-10-20,0.0101
"  202",1954-10-21,0.01
"  203",1954-10-22,0.01
"  204",1954-10-25,0.01
"  205",1954-10-26,0.01
"  206",1954-10-27,0.0101
"  207",1954-10-28,0.0101
"  208",1954-10-29,0.01
"  209",1954-11-01,0.01
"  210",1954-11-03,0.0101
"  211",1954-11-04,0.0101
"  212",1954-11-05,0.0097
"  213",1954-11-08,0.0094
"  214",1954-11-09,0.0087
"  215",1954-11-10,0.0088
"  216",1954-11-12,0.009
"  217",1954-11-15,0.009
"  218",1954-11-16,0.0089
"  219",1954-11-17,0.009
"  220",1954-11-18,0.0088
"  221",1954-11-19,0.0087
"  222",1954-11-22,0.0087
"  223",1954-11-23,0.0089
"  224",1954-11-24,0.0093
"  225",1954-11-26,0.0097
"  226",1954-11-29,0.01
"  227",1954-11-30,0.0101
